Fidelity NASDAQ Composite Index Fund
AQR Funds-AQR Diversified Arbitrage Fd
Saba Capital Income & Opportunities Fd
Vanguard Total Stock Market Index Fund
iShares Russell 2000 ETF
Vanguard Extended Market Index Fund
Fidelity Small Cap Index Fund
iShares Russell 2000 Value ETF
Price (T.Rowe) Health Sciences Fund
Fidelity Extended Market Index Fund
Vanguard Russell 2000 Index Fund
Schwab Capital Trust-Small Cap Index Fund
iShares Micro Cap ETF
Vanguard/Primecap Fund
Vanguard 500 Index Fund
ETF Series Solutions-U.S. Global Jets ETF
Vanguard Small-Cap Index Fund
Vanguard Mid-Cap Index Fund
Fidelity 500 Index Fund
SPDR S&P 500 ETF Trust
iShares Core S&P 500 ETF
Vanguard Small Cap Value Index Fund
DFA U.S. Small Cap Value Series
Bridgeway Funds Inc-Ultra Small Company Market Fund
Bridgeway Funds Inc-Ultra Small Company Fund
Teton Westwood Mighty Mites Fd
DFA U.S. Core Equity 2 Portfolio
DFA U.S. Small Cap Series
Columbia Fds Ser Tr I-Columbia Small Cap Value Fd I
Royce Micro-Cap Fund
Fidelity Strategic Advisors Small-Mid Cap Fund
Columbia Fds Var Ins Tr-Columbia Var Port-Small Cap Value Fd
Royce Capital Fund-Micro-Cap Portfolio
Avantis U.S. Small Cap Value ETF
SPDR (R) Ser Tr-SPDR S&P Telecom ETF
Brinker Capital Destinations Tr-Destinations Small-Mid Cap Equity Fd
iShares Core S&P Smallcap ETF
Virtus Equity Tr-Virtus KAR Small Cap Growth Fd
Conestoga Small Cap Fund
iShares S&P Small-Cap 600 Growth ETF
Vanguard Small-Cap Growth Index Fund
Invesco Discovery Fund
Vanguard Growth Index Fund
"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF"
Vanguard Institutional Index Fund-Institutional Index Fund
Vanguard Information Technology Index Fund
Select Sector SPDR Fund-Technology
American Century Small Cap Value Fund
Janus Henderson Small Cap Value Fund
Smallcap World Fund
American Funds Insurance Ser-Asset Allocation Fund
iShares NASDAQ Biotechnology ETF
Baillie Gifford International Alpha Fund
Old Westbury Small & Mid Cap Strategies Fund
Brighthouse Fds Tr II-Baillie Gifford International Stock Port
Vanguard Valley Forge Fds-Baillie Gifford Global Pos Impact Stock Fd
